date,time,pressure,pressure_setpoint,mfc1_Ar,mfc2_Ar,rh,rh_setpoint,temp,bias,current,max_iv_current,max_cv_current,cv_area,low_freq_z,note
2019-06-27_15-06-34,243.939,,,,,,,,,,,,,,pbi
2019-06-27_15-06-36,243.972,,,,,,,,,,,,,,pbi
2019-06-27_15-06-38,244.005,,,,,,,,,,,,,,pbi
2019-06-27_15-06-40,244.038,,,,,,,,,,,,,,pbi
2019-06-27_15-06-42,244.072,,,,,,,,,,,,,,pbi
2019-06-27_15-06-44,244.106,,,,,,,,,,,,,,pbi
2019-06-27_15-06-46,244.139,,,,,,,,,,,,,,pbi
2019-06-27_15-06-48,244.172,,,,,,,,,,,,,,pbi
2019-06-27_15-06-50,244.205,,,,,,,,,,,,,,pbi
2019-06-27_15-06-52,244.239,,,,,,,,,,,,,,pbi
2019-06-27_15-06-54,244.272,,,,,,,,,,,,,,pbi
2019-06-27_15-06-56,244.305,,,,,,,,,,,,,,pbi
2019-06-27_15-06-58,244.338,,,,,,,,,,,,,,pbi
2019-06-27_15-07-00,244.372,,,,,,,,,,,,,,pbi
2019-06-27_15-07-02,244.406,,,,,,,,,,,,,,pbi
2019-06-27_15-07-04,244.439,,,,,,,,,,,,,,pbi
2019-06-27_15-07-06,244.472,,,,,,,,,,,,,,pbi
2019-06-27_15-07-08,244.505,,,,,,,,,,,,,,pbi
2019-06-27_15-07-10,244.539,,,,,,,,,,,,,,pbi
2019-06-27_15-07-12,244.572,,,,,,,,,,,,,,pbi
2019-06-27_15-07-14,244.606,,,,,,,,,,,,,,pbi
2019-06-27_15-07-16,244.638,,,,,,,,,,,,,,pbi
2019-06-27_15-07-18,244.672,,,,,,,,,,,,,,pbi
2019-06-27_15-07-20,244.706,,,,,,,,,,,,,,pbi
2019-06-27_15-07-22,244.739,,,,,,,,,,,,,,pbi
2019-06-27_15-07-24,244.774,,,,,,,,,,,,,,pbi
2019-06-27_15-07-26,244.807,,,,,,,,,,,,,,pbi
2019-06-27_15-07-28,244.84,,,,,,,,,,,,,,pbi
2019-06-27_15-07-30,244.874,,,,,,,,,,,,,,pbi
2019-06-27_15-07-32,244.907,,,,,,,,,,,,,,pbi
2019-06-27_15-07-34,244.941,,,,,,,,,,,,,,pbi
2019-06-27_15-07-36,244.973,,,,,,,,,,,,,,pbi
2019-06-27_15-07-38,245.007,,,,,,,,,,,,,,pbi
2019-06-27_15-07-40,245.041,,,,,,,,,,,,,,pbi
2019-06-27_15-07-42,245.073,,,,,,,,,,,,,,pbi
2019-06-27_15-07-44,245.107,,,,,,,,,,,,,,pbi
2019-06-27_15-07-46,245.14,,,,,,,,,,,,,,pbi
2019-06-27_15-07-48,245.173,,,,,,,,,,,,,,pbi
2019-06-27_15-07-50,245.207,,,,,,,,,,,,,,pbi
2019-06-27_15-07-52,245.241,,,,,,,,,,,,,,pbi
2019-06-27_15-07-54,245.273,,,,,,,,,,,,,,pbi
2019-06-27_15-07-56,245.307,,,,,,,,,,,,,,pbi
2019-06-27_15-07-58,245.341,,,,,,,,,,,,,,pbi
2019-06-27_15-08-00,245.373,,,,,,,,,,,,,,pbi
2019-06-27_15-08-02,245.407,,,,,,,,,,,,,,pbi
2019-06-27_15-08-04,245.441,,,,,,,,,,,,,,pbi
2019-06-27_15-08-06,245.473,,,,,,,,,,,,,,pbi
2019-06-27_15-08-08,245.507,,,,,,,,,,,,,,pbi
2019-06-27_15-08-10,245.54,,,,,,,,,,,,,,pbi
2019-06-27_15-08-12,245.574,,,,,,,,,,,,,,pbi
2019-06-27_15-08-14,245.607,,,,,,,,,,,,,,pbi
2019-06-27_15-08-16,245.64,,,,,,,,,,,,,,pbi
2019-06-27_15-08-18,245.674,,,,,,,,,,,,,,pbi
2019-06-27_15-08-20,245.707,,,,,,,,,,,,,,pbi
2019-06-27_15-08-22,245.74,,,,,,,,,,,,,,pbi
2019-06-27_15-08-24,245.773,,,,,,,,,,,,,,pbi
2019-06-27_15-08-26,245.807,,,,,,,,,,,,,,pbi
2019-06-27_15-08-28,245.841,,,,,,,,,,,,,,pbi
2019-06-27_15-08-30,245.873,,,,,,,,,,,,,,pbi
2019-06-27_15-08-32,245.907,,,,,,,,,,,,,,pbi
2019-06-27_15-08-34,245.941,,,,,,,,,,,,,,pbi
2019-06-27_15-08-36,245.973,,,,,,,,,,,,,,pbi
2019-06-27_15-08-38,246.008,,,,,,,,,,,,,,pbi
2019-06-27_15-08-40,246.04,,,,,,,,,,,,,,pbi
2019-06-27_15-08-42,246.074,,,,,,,,,,,,,,pbi
2019-06-27_15-08-44,246.107,,,,,,,,,,,,,,pbi
2019-06-27_15-08-46,246.14,,,,,,,,,,,,,,pbi
2019-06-27_15-08-48,246.175,,,,,,,,,,,,,,pbi
2019-06-27_15-08-50,246.208,,,,,,,,,,,,,,pbi
2019-06-27_15-08-52,246.24,,,,,,,,,,,,,,pbi
2019-06-27_15-08-54,246.275,,,,,,,,,,,,,,pbi
2019-06-27_15-08-56,246.308,,,,,,,,,,,,,,pbi
2019-06-27_15-08-58,246.34,,,,,,,,,,,,,,pbi
2019-06-27_15-09-00,246.374,,,,,,,,,,,,,,pbi
2019-06-27_15-09-02,246.407,,,,,,,,,,,,,,pbi
2019-06-27_15-09-04,246.441,,,,,,,,,,,,,,pbi
2019-06-27_15-09-06,246.475,,,,,,,,,,,,,,pbi
2019-06-27_15-09-08,246.508,,,,,,,,,,,,,,pbi
2019-06-27_15-09-10,246.54,,,,,,,,,,,,,,pbi
2019-06-27_15-09-12,246.575,,,,,,,,,,,,,,pbi
2019-06-27_15-09-14,246.608,,,,,,,,,,,,,,pbi
2019-06-27_15-09-16,246.64,,,,,,,,,,,,,,pbi
2019-06-27_15-09-18,246.675,,,,,,,,,,,,,,pbi
2019-06-27_15-09-20,246.708,,,,,,,,,,,,,,pbi
2019-06-27_15-09-22,246.741,,,,,,,,,,,,,,pbi
2019-06-27_15-09-24,246.775,,,,,,,,,,,,,,pbi
2019-06-27_15-09-26,246.807,,,,,,,,,,,,,,pbi
2019-06-27_15-09-28,246.84,,,,,,,,,,,,,,pbi
2019-06-27_15-09-30,246.875,,,,,,,,,,,,,,pbi
2019-06-27_15-09-32,246.907,,,,,,,,,,,,,,pbi
2019-06-27_15-09-34,246.94,,,,,,,,,,,,,,pbi
2019-06-27_15-09-36,246.974,,,,,,,,,,,,,,pbi
2019-06-27_15-09-38,247.008,,,,,,,,,,,,,,pbi
2019-06-27_15-09-40,247.041,,,,,,,,,,,,,,pbi
2019-06-27_15-09-42,247.074,,,,,,,,,,,,,,pbi
2019-06-27_15-09-44,247.108,,,,,,,,,,,,,,pbi
2019-06-27_15-09-46,247.141,,,,,,,,,,,,,,pbi
2019-06-27_15-09-48,247.174,,,,,,,,,,,,,,pbi
2019-06-27_15-09-50,247.207,,,,,,,,,,,,,,pbi
2019-06-27_15-09-52,247.24,,,,,,,,,,,,,,pbi
2019-06-27_15-09-54,247.274,,,,,,,,,,,,,,pbi
2019-06-27_15-09-56,247.307,,,,,,,,,,,,,,pbi
2019-06-27_15-09-58,247.34,,,,,,,,,,,,,,pbi
2019-06-27_15-10-00,247.374,,,,,,,,,,,,,,pbi
2019-06-27_15-10-02,247.408,,,,,,,,,,,,,,pbi
2019-06-27_15-10-04,247.441,,,,,,,,,,,,,,pbi
